Seuence,CZB_ID,RR_ID,n_atcg,avg_depth ,mapped_reads,assay,ct
SEQ_071,RR065e_04678,RR065,7714,66.483,,SC2,32.3
SEQ_071,RR065e_04681,RR065,347,0.549,,SC2,32.9
SEQ_071,RR065e_04684,RR065,13429,62.299,,SC2,25.7
SEQ_071,RR065e_04686,RR065,21124,137.324,,SC2,26
SEQ_071,RR065e_04688,RR065,26538,418.485,,SC2,24.4
SEQ_071,RR065e_04689,RR065,11350,22.608,,SC2,30.1
SEQ_071,RR065e_04690,RR065,2567,2.368,,SC2,30
SEQ_071,RR065e_04691,RR065,4707,7.566,,SC2,30.1
SEQ_071,RR065e_04694,RR065,23376,412.325,,SC2,29.2
SEQ_071,RR073e_00131,RR073,0,0.062,,N2,33
SEQ_071,RR073e_00138,RR073,20278,76.774,,N2,37
SEQ_071,RR073e_00181,RR073,645,0.743,,N2,37
SEQ_071,RR073e_00182,RR073,0,0,,N2,35
SEQ_071,RR073e_00195,RR073,4559,23.329,,N2,35
SEQ_071,RR073e_00196,RR073,27253,210.364,,N2,32
SEQ_071,RR074e_02220,RR074,4772,6.446,,N2,23.14
SEQ_071,RR074e_02231,RR074,22464,260,,Orf1,26.96
SEQ_071,RR074e_02232,RR074,27667,712.08,,S,26.47
SEQ_071,RR077e_00708,RR077,19806,14.384,,ORF,14.7
SEQ_071,RR096e_01355,RR096,28212,89.606,,ORF1ab,19.2
SEQ_071,RR096e_01478,RR096,0,0,,ORF1ab,16.76
SEQ_071,RR096e_01480,RR096,0,0,,ORF1ab,17.58
SEQ_071,RR096e_01482,RR096,0,0.01,,ORF1ab,18.63
SEQ_072,RR065e_04712,RR065,18076,197.659,,SC2,32.8
SEQ_072,RR065e_04713,RR065,1123,10.964,,SC2,34.3
SEQ_072,RR065e_04715,RR065,5858,20.649,,SC2,33.1
SEQ_072,RR065e_04716,RR065,28785,693.374,,SC2,27.7
SEQ_072,RR065e_04717,RR065,29037,636.818,,SC2,26
SEQ_072,RR065e_04719,RR065,1542,13.234,,SC2,34.5
SEQ_072,RR065e_04721,RR065,26467,460.158,,SC2,20.4
SEQ_072,RR065e_04722,RR065,13368,30.377,,SC2,25.6
SEQ_072,RR065e_04723,RR065,29763,561.202,,SC2,14.9
SEQ_072,RR065e_04724,RR065,10125,16.326,,SC2,26.3
SEQ_072,RR065e_04726,RR065,823,1.721,,SC2,31.4
SEQ_072,RR065e_04728,RR065,1219,1.904,,SC2,26.4
SEQ_072,RR065e_04729,RR065,7323,21.801,,SC2,30.6
SEQ_072,RR065e_04730,RR065,29567,1069.11,,SC2,17.7
SEQ_072,RR065e_04731,RR065,29527,433.643,,SC2,16.7
SEQ_072,RR065e_04735,RR065,29287,290.774,,SC2,22.8
SEQ_072,RR065e_04736,RR065,28268,209.874,,SC2,24.8
SEQ_072,RR065e_04737,RR065,29517,1372.708,,SC2,26.2
SEQ_072,RR065e_04738,RR065,2264,2.427,,SC2,32
SEQ_072,RR065e_04741,RR065,12071,40.519,,SC2,34
SEQ_072,RR065e_04742,RR065,29047,611.237,,SC2,24.9
SEQ_072,RR065e_04743,RR065,29513,1428.534,,SC2,24.7
SEQ_072,RR065e_04744,RR065,29534,1331.751,,SC2,18.1
SEQ_072,RR065e_04745,RR065,3654,7.655,,SC2,24.3
SEQ_072,RR065e_04747,RR065,18690,6612.286,,SC2,23.8
SEQ_072,RR065e_04749,RR065,18863,1415.966,,SC2,16.1
SEQ_072,RR065e_04750,RR065,29022,801.985,,SC2,18.3
SEQ_072,RR065e_04751,RR065,29619,898.102,,SC2,18
SEQ_072,RR065e_04754,RR065,1409,17.628,,SC2,33.5
SEQ_072,RR065e_04756,RR065,24325,107.854,,SC2,31
SEQ_072,RR065e_04757,RR065,28073,189.533,,SC2,33
SEQ_072,RR065e_04758,RR065,29627,1497.942,,SC2,21
SEQ_072,RR065e_04760,RR065,23792,908.779,,SC2,25.2
SEQ_072,RR065e_04761,RR065,29297,1314.37,,SC2,30.3
SEQ_072,RR065e_04762,RR065,7716,24.819,,SC2,26.7
SEQ_072,RR065e_04763,RR065,21740,164.997,,SC2,26.2
SEQ_072,RR065e_04764,RR065,29804,1429.417,,SC2,16
SEQ_072,RR065e_04768,RR065,19652,69.862,,SC2,30.1
SEQ_072,RR065e_04769,RR065,330,0.488,,SC2,29.1
SEQ_072,RR065e_04770,RR065,28873,335.724,,SC2,19.7
SEQ_072,RR065e_04771,RR065,3888,5.611,,SC2,31.3
SEQ_072,RR065e_04774,RR065,29111,1401.55,,SC2,26.8
SEQ_072,RR065e_04775,RR065,26203,305.684,,SC2,30.3
SEQ_072,RR065e_04776,RR065,29315,890.628,,SC2,21.1
SEQ_072,RR065e_04777,RR065,5818,12.965,,SC2,33.6
SEQ_072,RR065e_04781,RR065,2167,3.806,,SC2,34.6
SEQ_072,RR065e_04782,RR065,26440,212.859,,SC2,24.1
SEQ_072,RR065e_04783,RR065,29150,315.641,,SC2,23.5
SEQ_072,RR065e_04784,RR065,28275,134.871,,SC2,30
SEQ_072,RR065e_04785,RR065,29096,525.137,,SC2,25.2
SEQ_072,RR065e_04786,RR065,13062,124.953,,SC2,26.6
SEQ_072,RR065e_04788,RR065,29518,1113.625,,SC2,15.5
SEQ_072,RR065e_04789,RR065,7070,17.996,,SC2,29.6
SEQ_072,RR066e_02383,RR066,29620,428.671,,N1,12.03
SEQ_072,RR066e_02384,RR066,29301,704.779,,N1,13.9
SEQ_072,RR066e_02386,RR066,29684,572.299,,N1,7.72
SEQ_072,RR066e_02391,RR066,29786,1061.709,,N1,5.41
SEQ_072,RR066e_02392,RR066,29679,859.671,,N1,9.01
SEQ_072,RR066e_02393,RR066,29582,808.011,,N1,8.35
SEQ_072,RR066e_02394,RR066,1,0.903,,N1,8.36
SEQ_072,RR066e_02397,RR066,29587,1465.138,,N1,12.51
SEQ_072,RR066e_02399,RR066,29790,835.989,,N1,11.24
SEQ_072,RR066e_02402,RR066,29390,1198.882,,N1,14.11
SEQ_072,RR066e_02403,RR066,29785,1422.383,,N1,6
SEQ_072,RR066e_02404,RR066,29590,1405.09,,N1,4.46
SEQ_072,RR066e_02405,RR066,29578,1105.951,,N1,12.42
