sample_name	depth_avg	mapped_reads	total_reads	n_actg	n_missing	n_gap	n_ambiguous	ref_snps	ref_mnps	ref_indels	depth_q.01	depth_q.05	depth_q.1	depth_q.25	depth_q.5	depth_q.75	depth_frac_above_10x	depth_frac_above_25x	depth_frac_above_50x	depth_frac_above_100x	mapped_paired	paired_inward	paired_outward	paired_other_orientation
RR066e_01768_W-R216-D2_G04_S55	61.026	14410	204978	23352	6418	0	17	16	0	0	0.000	0.000	2.000	11.000	35.000	79.000	0.782	0.556	0.556	0.189	14354	11066	3150	2
RR066e_01769_W-R216-E2_I04_S57	694.404	162905	797062	28423	1385	0	7	23	0	0	1.000	10.000	35.000	132.000	449.000	961.000	0.951	0.910	0.910	0.795	162321	128346	33640	212
RR066e_01770_W-R216-F2_K04_S59	3.102	726	1347754	1261	28055	0	0	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.042	0.031	0.031	0.012	723	590	102	2
RR066e_01771_W-R216-G2_M04_S61	371.510	81129	471978	26416	3378	0	5	18	0	0	0.000	0.000	6.000	48.000	227.000	515.000	0.884	0.809	0.809	0.649	80940	73160	7550	16
RR066e_01772_W-R216-H2_O04_S63	1326.147	290826	2209654	29507	304	0	3	18	0	0	0.000	123.000	222.000	525.000	1093.000	1849.500	0.987	0.979	0.979	0.963	290018	259944	29794	74
RR066e_01773_W-R216-A3_A06_S81	3479.863	773052	1668092	29576	253	0	1	25	0	0	6.000	164.000	772.000	1914.000	3221.000	4620.000	0.989	0.981	0.981	0.968	770871	677088	93360	372
RR066e_01774_W-R216-B3_C06_S83	41.118	9543	139292	21810	7803	0	16	10	0	1	0.000	0.000	0.000	9.000	24.000	63.000	0.730	0.454	0.454	0.112	9513	7592	1810	4
RR066e_01775_W-R216-C3_E06_S85	336.740	76448	222592	27249	2541	0	7	17	0	0	0.000	3.000	12.000	57.000	213.000	489.000	0.912	0.819	0.819	0.676	76203	64900	11062	44
RR066e_01776_W-R216-D3_G06_S87	6312.567	1487983	2177218	29848	18	0	0	20	0	0	1166.020	2107.000	2733.000	3824.000	5556.000	8330.000	0.998	0.998	0.998	0.996	1482800	1172526	309582	1342
RR066e_01777_W-R216-E3_I06_S89	3763.044	883158	1651950	29813	84	0	2	23	0	0	32.000	494.000	1413.000	2370.500	3555.000	5015.000	0.997	0.991	0.991	0.986	879711	698294	180512	1370
RR066e_01778_W-R216-F3_K06_S91	3027.766	710976	1254540	29813	3	0	0	18	0	0	28.000	342.100	795.000	1636.000	2728.000	4040.500	0.997	0.990	0.990	0.980	708487	567154	140516	1082
RR066e_01779_W-R216-G3_M06_S93	25.571	5588	1522116	21596	8158	0	28	14	0	0	0.000	3.000	5.000	9.000	15.000	26.000	0.723	0.208	0.208	0.051	5572	5028	484	6
RR066e_01780_W-R216-H3_O06_S95	110.951	24105	832362	19458	10331	0	10	12	0	1	0.000	0.000	0.000	1.000	47.000	133.000	0.651	0.557	0.557	0.328	24044	22194	1684	6
RR066e_01781_W-R216-A4_A08_S113	83.571	18602	1484262	19710	8989	0	7	15	0	1	0.000	0.000	0.000	0.000	37.000	108.000	0.660	0.530	0.530	0.278	18556	16150	2258	8
RR066e_01782_W-R216-B4_C08_S115	177.050	41743	302492	28081	1716	0	16	19	0	0	1.000	8.000	15.000	44.000	112.000	238.000	0.940	0.824	0.824	0.538	41634	32922	8498	44
RR066e_01783_W-R216-C4_E08_S117	0.626	145	573440	735	25503	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.025	0.005	0.005	0.000	145	126	16	0
RR066e_01784_W-R216-D4_G08_S119	114.524	26643	510500	23866	5927	0	13	16	0	0	0.000	0.000	2.000	14.000	62.000	154.000	0.800	0.656	0.656	0.392	26551	21516	4846	6
RR066e_01785_W-R216-E4_I08_S121	18.118	4249	243916	14327	15453	0	7	12	0	0	0.000	0.000	0.000	0.000	8.000	28.000	0.480	0.230	0.230	0.019	4240	3414	750	0
RR066e_01786_W-R216-F4_K08_S123	11.135	2623	304812	6464	22708	0	1	5	0	0	0.000	0.000	0.000	0.000	0.000	4.000	0.216	0.107	0.107	0.035	2618	1998	570	0
RR066e_01787_W-R216-G4_M08_S125	2172.855	477324	783024	29584	229	0	3	18	0	0	9.000	204.000	433.000	1062.000	1932.000	2994.000	0.990	0.983	0.983	0.977	476068	426290	49458	184
RR066e_01788_W-R216-H4_O08_S127	6240.841	1360038	1831146	29831	25	0	1	21	0	0	46.000	1440.000	2407.000	3816.500	5768.000	8109.500	0.998	0.994	0.994	0.981	1356179	1238972	117008	460
RR066e_01789_W-R216-A5_A10_S145	23.809	5275	1218582	8608	21176	0	8	17	0	0	0.000	0.000	0.000	0.000	0.000	15.000	0.288	0.196	0.196	0.061	5263	4554	642	0
RR066e_01790_W-R216-B5_C10_S147	11459.456	2764682	4204294	29866	0	0	0	26	0	0	1547.000	4301.100	5932.200	8077.500	10719.000	13699.500	0.999	0.998	0.998	0.998	2752557	2110684	638894	6534
