sample_name	depth_avg	mapped_reads	total_reads	n_actg	n_missing	n_gap	n_ambiguous	ref_snps	ref_mnps	ref_indels	depth_q.01	depth_q.05	depth_q.1	depth_q.25	depth_q.5	depth_q.75	depth_frac_above_10x	depth_frac_above_25x	depth_frac_above_50x	depth_frac_above_100x	mapped_paired	paired_inward	paired_outward	paired_other_orientation
RR066e_02580_W-R266-F1_K01_S11	255.438	58384	563018	26346	3465	0	3	19	0	0	0.000	1.000	6.000	30.000	129.000	302.000	0.881	0.753	0.753	0.559	58220	48118	9888	12
RR066e_02581_W-R266-G1_M01_S13	0.005	2	7758	0	125	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	2	0	0
RR066e_02582_W-R266-H1_O01_S15	8.552	1949	163974	4893	23816	0	1	8	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.164	0.088	0.088	0.023	1944	1628	262	2
RR066e_02583_W-R266-A2_A03_S33	1.217	288	444846	1156	13654	0	0	4	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.039	0.019	0.019	0.000	286	216	54	2
RR066e_02584_W-R266-B2_C03_S35	3.401	796	299690	361	6	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.012	0.011	0.011	0.011	794	584	164	0
RR066e_02585_W-R266-C2_E03_S37	4.692	1112	594438	1772	18438	0	1	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.059	0.042	0.042	0.016	1110	810	242	0
RR066e_02586_W-R266-D2_G03_S39	2658.350	616833	1923752	29810	10	0	2	16	0	0	29.000	136.000	259.000	787.000	1881.000	3551.000	0.997	0.990	0.990	0.967	614607	501250	112834	462
RR066e_02587_W-R266-E2_I03_S41	6558.661	1481466	1898442	29814	16	0	1	22	0	2	23.000	1539.100	2279.200	3732.000	5906.000	8617.000	0.997	0.988	0.988	0.985	1476527	1263864	212182	580
RR066e_02588_W-R266-F2_K03_S43	2833.240	642945	891112	29786	18	0	1	17	0	1	29.000	372.000	664.000	1327.000	2426.000	3795.000	0.996	0.989	0.989	0.982	640864	542970	97646	238
RR066e_02589_W-R266-G2_M03_S45	1527.167	340039	405264	29811	27	0	1	17	0	1	57.000	352.000	515.000	838.000	1300.000	2041.000	0.997	0.996	0.996	0.986	338773	299286	39252	122
RR066e_02590_W-R266-H2_O03_S47	1675.879	375243	784420	29804	19	0	0	22	0	0	46.000	407.000	612.000	972.000	1503.000	2151.000	0.997	0.994	0.994	0.989	373886	326620	46990	130
RR066e_02591_W-R266-A3_A05_S65	74.374	17888	542760	14265	15376	0	4	7	0	3	0.000	0.000	0.000	0.000	1.000	109.000	0.477	0.425	0.425	0.266	17824	13432	4210	16
RR066e_02592_W-R266-C3_E05_S69	18534.009	4217059	4901734	29840	22	0	1	25	0	1	935.020	5984.100	7478.000	11033.500	16238.000	25182.000	0.998	0.997	0.997	0.997	4200815	3558598	637930	7992
RR066e_02593_W-R266-D3_G05_S71	5313.933	1213078	1630510	29810	15	0	0	22	0	0	175.000	698.100	986.000	2162.000	4169.000	7429.500	0.997	0.997	0.997	0.996	1208745	1013590	194770	884
RR066e_02594_W-R266-E3_I05_S73	244.279	55831	570162	24806	4997	0	17	21	0	4	0.000	0.000	0.000	35.000	158.000	364.000	0.830	0.766	0.766	0.609	55603	46590	8844	8
RR066e_02595_W-R266-F3_K05_S75	1964.008	443244	735182	29683	148	0	1	25	0	0	12.000	149.000	305.000	688.000	1354.000	2697.500	0.993	0.988	0.988	0.968	441611	380334	60990	254
RR066e_02596_W-R266-G3_M05_S77	2937.222	658523	913972	29803	52	0	1	25	0	0	172.000	793.100	1099.000	1689.000	2553.000	3879.000	0.997	0.996	0.996	0.996	656310	571052	85012	234
RR066e_02597_W-R266-H3_O05_S79	1312.842	295691	780348	29588	238	0	0	22	0	0	3.000	112.000	205.000	528.500	1074.000	1803.000	0.989	0.987	0.987	0.958	294672	253762	40632	98
RR066e_02598_W-R266-A4_A07_S97	8262.365	1928752	2629954	29815	6	0	0	24	0	1	107.040	1121.000	2087.400	4517.000	7685.000	11141.000	0.997	0.997	0.997	0.990	1921173	1542008	377104	4276
RR066e_02599_W-R266-B4_C07_S99	302.528	70909	618820	28014	1776	0	16	20	0	0	0.000	8.000	14.000	55.000	158.000	402.000	0.938	0.822	0.822	0.621	70486	56674	13508	92
RR066e_02600_W-R266-C4_E07_S101	9506.089	2201554	3638828	29813	3	0	5	24	0	0	175.020	1082.100	1783.400	3532.500	7593.000	13774.500	0.997	0.997	0.997	0.997	2193521	1790036	400876	4548
RR066e_02601_W-R266-D4_G07_S103	1033.880	236750	832718	29009	808	0	2	22	0	0	1.000	19.000	44.000	165.000	471.000	1283.500	0.970	0.933	0.933	0.819	235975	196152	39618	120
RR066e_02602_W-R266-E4_I07_S105	9.767	2222	435516	4737	21461	0	3	5	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.159	0.106	0.106	0.028	2205	1822	326	0
RR066e_02603_W-R266-F4_K07_S107	2774.426	621654	1176886	29809	6	0	1	22	0	0	70.000	478.100	807.000	1520.000	2491.000	3747.000	0.997	0.996	0.996	0.986	619715	539078	80256	328
RR066e_02604_W-R266-G4_M07_S109	2100.591	468609	594046	29800	12	0	2	22	0	0	45.000	574.100	822.000	1251.000	1907.000	2677.000	0.997	0.995	0.995	0.989	466969	409698	56922	206
RR066e_02605_W-R266-H4_O07_S111	1430.809	320936	525316	29570	274	0	1	24	0	0	8.000	80.000	210.000	573.000	1234.000	2114.000	0.989	0.970	0.970	0.941	319810	277056	42518	122
RR066e_02606_W-R266-A5_A09_S129	17566.445	4023678	4671376	29852	19	0	0	25	0	0	2160.100	6189.100	7867.200	11238.500	15847.000	23571.500	0.998	0.997	0.997	0.997	4008819	3333876	671136	7156
RR066e_02607_W-R266-B5_C09_S131	20100.652	4660483	5271610	29837	56	0	0	23	0	0	2830.020	6991.100	8992.000	13100.500	18544.000	26528.500	0.998	0.997	0.997	0.997	4641572	3730462	906896	7794
RR066e_02608_W-R266-C5_E09_S133	21199.795	4865372	5758378	29849	25	0	0	22	0	0	2035.140	6150.100	7758.400	11506.500	17903.000	30292.500	0.998	0.997	0.997	0.997	4847804	4026680	815742	8870
